title,category,lyrics
মৃদুল বায়ে বকুল ছায়ে,নজরুল গীতি,"মৃদুল বায়ে বকুল ছায়ে
গোপন পায়ে কে ওই আসে।
আকাশ-ছাওয়া চোখের চাওয়া
উতল হাওয়া  কেশের বাসে॥
উষার রাগে সাঁঝের ফাগে
যুগল তাহার কপোল রাঙে,
কমল দুলে সুর্য্য শশী
নিশীথ-চুলে আঁধার-রাশে॥
চরণ-ছোঁয়ায় পাতার ঠোঁটে
মুকুল কাঁপে কুসুম ফোটে,
আঁখির পলক- পতন-ছাঁদে
নিশীথ কাঁদে দিবস হাসে॥
গ্রহের মালা অলখ-খোঁপায়,
কপোল শোভে তারার টোপায়,
কুসুম-কাঁটায় আঁচল বাধে
রুমাল লুটায় সবুজ ঘাসে॥
তোমার লীলা- কমল করে
নিখিল-রানি! দুলাও মোরে।
ঢুলাও আমার সুবাসখানি
তোমার মুখের মদির-শ্বাসে॥"
জ​ড়োয়ার ঝুমকো তে কি রূপ খোলে,আধুনিক,"জড়োয়ার ঝুমকো তে কি রুপ খোলে গো
রুপ খোলে কি কাঁকন চুঁড়ির কন্ঠ হারে।
বসন্তকে কোন জড়োয়ার কে সাজাবে
নদীরে গান কোন বাঁশিতে কে বাজাবে
চন্দ্রিমারে কে পড়াবে অলংকারে।
নিজের কাছে নিজেই তুমি প্রশ্ন করো
হ্রিদয় তোমার কোন কামনায় থরথর
আকুল তোমার তৃষ্ণা ডাকে কোন আমারে।।"
তোমার মনে ফুটবে যবে,নজরুল গীতি,"তোমার মনে ফুটবে যবে প্রথম মুকুল।
প্রিয় হে প্রিয় আমারে দিও সে প্রেমের মুকুল।।
দীরঘ বরষ মাস তাহারি আশে
জাগিয়া রব তব দুয়ার-পাশে,
বহিবে কবে ফুল-ফুটানো
দখিনা বাতাস অনুকূল।।
আর কারে দাও যদি আমার সে ধ্যানের কুসুম
ক্ষতি নাই ওগো প্রিয় ভাঙুক এ অকরুণ ঘুম।
গুঞ্জরি’ গুঞ্জরি’ ভ্রমর সম
কাঁদিব তোমারে ঘিরি’ প্রিয়তম
হুতাস বাতাস সম কুসুম ফুটায়ে
চলে যাব দূরে বেভুল।।"
প্রিয় কোথায় তুমি কোন গহনে,নজরুল গীতি,"প্রিয় কোথায় তুমি কোন গহনে
কোন ধ্রুবলোকে কোন দূর গগনে।।
খোঁজে কানন তোমায় মেলি’ কুসুম-আঁখি,
‘তুমি কোথায়’ বলি’ ডাকে বনের পাখি।
আছ ঠকুর হয়ে কোন দেবালয়ে
কোন শ্রাবন-মেঘে দখিনা পবনে।।
সিন্ধু-বুকে মুখে লুকায়ে নদী
‘তুমি কোথায়’ বলি’ কাঁদে নিরবধি।
জ্বালি’ তারার বাতি খোঁজে আঁধার রাতি,
তোমায় খুঁজিয়া নিভিল জ্যোতি মোর নয়নে।।"
এসো বঁধু ফিরে এসো ভোল ভোল অভিমান,নজরুল গীতি,"এসো বঁধু ফিরে এসো, ভোলো ভোলো অভিমান।
দিব ও চরণে ডালি মোর তনু-মন-প্রাণ॥
জানি আমি অপরাধী তাই দিবানিশি কাঁদি,
নিমিষের অপরাধের কবে হবে অবসান॥
ফিরে গেলে দ্বারে আসি বাসি কিনা ভালোবাসি,
কাঁদে আজ তব দাসী, তুমি তার হৃদে ধ্যান॥
ফিরিয়া আসিয়া হেথা দিয়ো দুখ দিয়ো ব্যথা,
সহে না এ নীরবতা হে দেবতা পাষাণ॥"
তোমার মনে ফুটবে যবে,নজরুল গীতি,"তোমার মনে ফুটবে যবে প্রথম মুকুল।
প্রিয় হে প্রিয় আমারে দিও সে প্রেমের মুকুল।।
দীরঘ বরষ মাস তাহারি আশে
জাগিয়া রব তব দুয়ার-পাশে,
বহিবে কবে ফুল-ফুটানো
দখিনা বাতাস অনুকূল।।
আর কারে দাও যদি আমার সে ধ্যানের কুসুম
ক্ষতি নাই ওগো প্রিয় ভাঙুক এ অকরুণ ঘুম।
গুঞ্জরি’ গুঞ্জরি’ ভ্রমর সম
কাঁদিব তোমারে ঘিরি’ প্রিয়তম
হুতাস বাতাস সম কুসুম ফুটায়ে
চলে যাব দূরে বেভুল।।"
মোরে ডেকে লও সেই দেশে,নজরুল গীতি,"মোরে ডেকে লও সেই দেশে প্রিয় যে দেশে তুমি থাক।
মোর কি কাজ জীবনে বঁধূ যদি তুমি কাছে নাহি ডাক।। 
এই পৃথিবীর হাসি গান
বঁধূ সব হয়ে যায় ম্লান,
মধু-মাধবী রাসের তিথি হায় ! মাধব এলে নাকো।।
এত আত্মীয় প্রিয়জন মোর কিছু নাহি ভাল লাগে,
ভীড় রহে না প্রেমের নীড়ে সেথা দুটি পাখি শুধু জাগে।
ফুল তুলিয়া পূজার তরে
কেন ফেলে রাখ হেলা ভরে
তার মরণের আগে বঁধূ শুধু বারেক চরণে রাখ।।"
আমি তোর পীড়িতের মরা,বাউল,"আমি তোর পীড়িতের মরা
আমি তোর পীড়িতের মরা বন্ধু
চাইয়া দেখনা এক নজর বন্ধুরে
অপরাধী হলেও আমি তোর
তোররে বন্ধু
অপরাধী হলেও আমি তোর
আমায় যদি দাও তাড়াইয়া
এমন জায়গা নাইরে গিয়া
এ অভাগার জুড়াইতাম অন্তর
তুমি যদি ঘৃণা রাখো
আমি তোরে করিনা পর
কত দুঃখ আমার বুকে
দেখতে আসে পাড়ার লোকে
তোর কি নাই কলঙ্কেরই ডর
আমি যদি যাই মরিয়া
কে করবে তোরে আদর"
মানুষ ধরো মানুষ ভজ শোন বলিরে পাগল মন,বাউল,"মানুষ ধরো মানুষ ভজ শোন বলিরে পাগল মন।
মানুষের ভিতরে মানুষ করিতেছে বিরাজন।
মানুষ কি আর এমনি বটে যার চরণে জগৎ লুটে
এই না পঞ্চভুতের ঘাটে খেলিতেছে নিরঞ্জন
চৌদ্দতালার উপরে দালান তার ভিতরে ফুলের বাগান।
লাইলী আর মজনু দেওয়ান সুখেই করেছে আসন।।
দুই ধারে দুই কঠরা হায়াৎ মউত মাঝখানে ভরা
সময় থাকতে খুঁজরে তোরা নিকটেতে কাল সময়
সোনার পুরী আন্ধার করে যেদিন পাখি যাবে উড়ে।
শূন্য খাঁচা থাকবে পড়ে কে করবে আর তার যতন।।
তালাশে খালাশ মেলে তালাশ করো রংমহলে
উঠিয়া হাবলঙের পুলে চেয়ে থাকো সর্বক্ষন
দেখিবে হাবলঙের পুলে দুই দিকেতে অগ্নি জ্বলে
ভেবে রশীদ উদ্দিন বলে চমকিছে স্বর্ণের মতন।।"
সাথি পুরা বোতল দে আমারে নেশায় মজে রই,বাউল,"সাথি পুরা বোতল দে আমারে
নেশায় মজে লই…
ঐ নেশাতে মাতাল হইয়ে কিছু আবল তাবল কই
ঐ
চোখে আমার ভাসে যেন মুহাম্মাদরা রাসূল অন্তরেতে
ফুটে যেন মুহাম্মাদী ফুল ।।
যেথায় ফেরেস্তারা নেচে গেয়ে করতেছে হই চয়
সাথী পুরা বতল দে আমারে…….
যে নামেতে পাহাড় পর্বত সাগড় ঢেউ খেলে গাছ বিক্ষ তরু লতা
এই ধরা তলে… আজ ফেরেস্তারা নেচে গেয়ে করতেছে হৈ চয়..
সাথী পুরা বতল দে আমারে…….
না এলে মুহাম্মদ আমার না এলে ইসু আল্লা তা’য়ালা বানাইতো
না এ ধরার কিছু..
আজো বাকা পথে মাতাল রাজ্জাক সুজা হইলো কই
সাথী পুরা বতল দে আমারে……..
গানের কথা ও সুর : মাতাল কবি রাজ্জাক দেওয়ান
গেয়েছে অনেকেই এর ভিতরে বাউল জুয়েল সরকার"
সাথি পুরা বোতল দে আমারে,বাউল,"সাথি পুরা বোতল দে আমারে
নেশায় মজে লই…
ঐ নেশাতে মাতাল হইয়ে কিছু আবল তাবল কই
ঐ
চোখে আমার ভাসে যেন মুহাম্মাদরা রাসূল অন্তরেতে
ফুটে যেন মুহাম্মাদী ফুল ।।
যেথায় ফেরেস্তারা নেচে গেয়ে করতেছে হই চয়
সাথী পুরা বতল দে আমারে…….
যে নামেতে পাহাড় ………………
……………………….."
কালো উদ্বেগ,Uncategorized,"নগরের নির্বাণ নিস্তব্ধতায়
অস্পষ্ট স্মৃতির অজীর্ণতা
মধ্যহ্নের তারাগুলো হেটে যায়
রয় শরীরের অবিভাজ্য অশিষ্টতা
সন্ধার অন্ধকার জানালাটায়
দিয়ে যায় অংশীদারী আন্তরিকতা
কোলাহল সব শুনে দুরে পালায়
শুনে অন্তর্নিহিত অপভাষা
কালো ঘোরার ক্ষুরের আঘাত
গেথে গেছে তোমার ছায়ায়
কালো মেঘে ধোয়া রোদ
তোমার দরজায় এসে দারায়
তোমার ছায়া তোমায় দেখে
দুরে কোথাও হারায়
কালো সেই শকুন দুটো
দেখো ঘুরছে চোখের তারায়"
কেউ কাঁদবেনা,Uncategorized,"আমাকে দুরে কোথাও নিয়ে চলো , যেখানে কেউ থাকবে না ।
তোমার নাম ধরে চিৎকার করলে কেউ অবাক হয়ে দেখবে না ।
তোমার চোখের ভিতর তাকালে আর কাওকে দেখব না । 
চোখদুটোর নগ্নতা বেড়ে চলেছে সীমাহীনভাবে , পাতাদুটো খেয়ে গেছে অনিদ্রায় ।
নিশ্বাসে শুধু মরা গন্ধ ভাসে , হয়ত ভিতরে ভিতরে সব পচে গলে গেছে হতাশায় ।
হারানোর অজীর্ণ জলাবর্ত কল্পনায় ,  ডুবে হয় এক জনম পরিত্যক্ত জলাশয় । 
আমাকে দুরে কোথাও নিয়ে চলো ,
যেখানে কেউ কাঁদবে না ।
তোমার ঠোটে ঠোট রাখলে আর ঘড়ির কাটা ঘুরবে না ।
কালো মেঘের ছায়ার নাগালে তুমি আমি আর থাকব না ।"
মুক্তি পাবে,আধুনিক,"এমনি কোন এক ভেজা
রাতের মাঝখানে
এই চূর্ণ দেহখানি মুক্তি পাবে,
তোমার খোঁজে বেরিয়ে পরা
আত্মার কাছ থেকে
এই ঝলসানো মনের কাছ থেকে।
বিভ্রান্তির স্তম্ভে দাড়িয়ে তোমায়
দেখেছি উচ্ছাসিত আসক্তিতে,
বিদ্বেষী কোন এক কন্টক শয্যায়
ডুবেছিলে পরিত্যাক্ত শ্বৈরাতন্ত্রে।
এমনি কোন এক ভেজা
রাতের মাঝখানে
এই চূর্ণ দেহখানি মুক্তি পাবে
মুক্তি পাবে
মুক্তি পাবে
মুক্তি পাবে
মুক্তি পাবে"
Ai Ami,ব্যান্ড,"“এই আমি”
কণ্ঠ ও সুর : প্রিন্স
কথা : রবিন
কোনো ছেকরা গাড়ির তলায় পিষে
রাস্তার মাঝখানে
মরে থাকতে চাইনে
এই আমি।
বনের রাজা হয়েও
ননীর পুতুল হয়ে সার্কাসে
পড়ে থাকতে চাইনে
এই আমি।
ডানা মেলে গগনে
উড়ে বেড়ানোর সাধ্য নিয়ে
বন্দি পাখি হয়ে
থাকতে চাইনে
এই আমি।
এই আমি আর ঐ আমি
তফাতটা অনেক খানি।
এই আমি আর ঐ আমি
অনেক বদলে গেছি।
কোনো পাতাহীন গাছের ডালে
ছিড়ে ঘুড়ি বালকের
চোখে হতাশার কারন হতে চাইনে
এই আমি ।
কোনো পাতাহীন গাছের ডালে
ছিড়ে ঘুড়ি বালকের
চোখে হতাশার কারন হতে চাইনে
এই আমি ।
এই আমি আর ঐ আমি
তফাতটা অনেক খানি।
এই আমি আর ঐ আমি
অনেক বদলে গেছি।
কোনো ছেকরা গাড়ির তলায় পিষে
রাস্তার মাঝখানে
মরে থাকতে চাইনে
এই আমি।"
মাকে ভালোবাসি আমি মা যে আমার প্রাণ,জীবনমুখী গান,"মাকে ভালোবাসি আমি মা যে আমার প্রাণ
তাকে ভালো রেখো তুমি, আল্লাহ মেহেরবান (২ বার)
মা গো,
তোমার জন্যে নিত্য দিনই চোখে আসে বান (২বার)
রাত দুপুরে যখন ফিরি আমার ছোট্ট ঘরে
তুমি বিনে শূণ্য হৃদয় কেমন জানি করে (২ বার)
আমার জন্যে আজও কি মা কাদে তোমার প্রাণ
ঐ
দুঃখ শোকে কাজের ফাঁকে তোমায় মনে পরে
দুই নয়নের প্রান্ত জুড়ে অশ্র“ শুধুই ঝরে (২বার)
তোমার জন্যে আজও লিখি নতুন সুরের গান
ঐ"
Rai jago go – রাই জাগো গো,পল্লীগীতি,"রাই জাগো গো
জাগো শ্যামের মনমোহিনী বিনোদিনী রাই
জেগে দেখো আর তো নিশি নাইগো জয় রাঁধে
জাগো শ্যামের মনমোহিনী বিনোদিনী রাই 
শ্যাম অঙ্গে অঙ্গ দিয়া
আছো রাঁধে ঘুমাইয়া
কুল কলঙ্কের ভয় কি তোমার নাইগো জয় রাঁধে 
বাসি ফুল জলে ফেলে
আনো সবে ফুল তুলিয়ে
সে ফুল দিয়ে যুগলকে সাজাইগো জয় রাঁধে 
আমরা তোমার সেবার দাসী
যুগল চরণ ভালবাসি
যুগল বিনে অন্য আশা নাইগো জয় রাঁধে"
Jago he ei nogorbasi – জাগো হে এই নগরবাসী,পল্লীগীতি,"জাগো হে এই নগরবাসী
মুখে জয় রাধা শ্রী রাধা বইলা পোহাইল নিশি
জাগো হে এই নগরবাসী
পূবেতে বন্দনা করি পূবের দিবাকর
পূবেতে বন্দনা করি পূবের দিবাকর
একদিকে উদয় ভানু চৌদিকে প্রকাশ
জাগো হে এই নগরবাসী
উত্তরে বন্দনা করি  কৈলাস শিখর
উত্তরে বন্দনা করি  কৈলাস শিখর
তার পাছে বন্দনা করি শিব আর পার্বতী
জাগো হে এই নগরবাসী
দক্ষিণে বন্দনা করি কালিদয় সাগর
দক্ষিণে বন্দনা করি কালিদয় সাগর
পাখি হইয়া উড়ে পড়ে নাহি বালুচর
জাগো হে এই নগরবাসী
পশ্চিমে বন্দনা করি ঠাকুর জগন্নাথ
পশ্চিমে বন্দনা করি ঠাকুর জগন্নাথ
তার পাছে বন্দনা করি শ্রী গুরুর চরণ
জাগো হে এই নগরবাসী
জাগো হে এই নগরবাসী
মুখে জয় রাধা শ্রী রাধা বইলা পোহাইল নিশি
জাগো হে এই নগরবাসী"
"কতো শপ্ন দেখেছি,",আধুনিক,"কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
সবই তোমায় নিয়ে, সব ই তোমায় নিয়ে ২
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ২
তুমি আমার জীবনে ফুটা ফুল,
ভালোবেসে করেছো আকুল।
তুমি আমার জীবনে ফুটা ফুল,
ভালোবেসে করেছো আকুল।
কতো পথ চলেছি, কতো শুখে ভেসেছি,
কতো তরী বেয়েছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ৪
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
শুধু তোমার ঐ রিদয় ও ছায়ায়,
অনুরাগে ভাবে ভাসায়।
শুধু তোমার ঐ রিদয় ও ছায়ায়,
অনুরাগে ভাবে ভাসায়।
কতো কাছে এসেছি কতো চেয়ে থেকেছি,
কতো মগ্ন রয়েছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ৪
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
তুমি আমার বুকের ঝর্না হয়ে,
সব ব্যাথা দিয়েছো ধুয়ে।
তুমি আমার বুকের ঝর্না হয়ে,
সব ব্যাথা দিয়েছো ধুয়ে।
কতো ভুল করেছি কতো দু:খ সয়েছি,
কতো মালা গেথেছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ৪
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
সবই তোমায় নিয়ে, সব ই তোমায় নিয়ে ২"
রঙ্গশালা,বাউল,"গান : রঙ্গশালা
গীতিকার : আমিনুল ইসলাম আপন
দয়াল তোমার রঙ্গশালায় কত যায়গায় ঘুরিলাম
আসল নকল না চিনিয়া ভব মায়ায় মজিলাম  
তত্ব সুখে নিত্ব দিনই করলাম কত ভুল
ভাঙ্গা তরী বাইয়া গেলাম পাইনা কোন কোল
নবী আমার পারের নাইয়া তাহারে জানাই সালাম ….ঐ
নামাজ রোজা না রাখিলাম ওগ দায়াল চান
তুমি দয়াল দয়ার সাগর করনা আছান
কোন জায়গায় বাধ না দিয়া নদীর পানি সেচিলাম  ….ঐ
রাসুল আমার হিরা কাঞ্চন উম্মতের আপন
আমিনুল কয় ভুল করিলাম না করলাম সাধন
দিনে দিনে দিনযায় গইয়া না লইলাম আল্লাজীর নাম    …. ঐ"
অনুভবে আছো তুমি …..,Uncategorized,"অনুভবে আছো তুমি হৃদয় গভীরে
রাতদিন ভাবনায় খাটে তোমার পরশে,,
তুমি আমার ভালোবাসা ফুলের মুকুল
তুমি আমার প্রেম সাধনার পুতুল,,,,
ও…
ভালবাসার ফুলদানিতে দুটি হৃদয় এক হয়েছে
মাতাল হাওয়ায় মধূ বনে
মিলনের সুর বাজে গো মনে মনে
দুটি হৃদয়ের কোনযৌবনে কাজল আঁখির পরশ মিলেছে,,,
ও…
প্রেম কুমারী “তাসলিমা”
মিটিয়ে দাও গো আমার প্রেম পিপাসা
আসায় থাকি আমি “লিয়ন” পাইতে দর্শন
আমায় ছেড়ে কবু তুমি দূরে যেওনা…"
ভন্ড প্রেম,বাউল,"ভন্ড প্রেমের ভন্ডামিতে ভাংলি কেন মন,,,,,,,,,,,,,।।
কোন পাপেতে কোন দোষেতে করলি রে এমন,,,,,,,,,,।।
তোর কথাতে ভিক্তি করে দিয়েছিলাম মন
তার জবাবে দিলি আমায় প্রেমও জ্বালাতন,,,,,,,,,,,,
কোন পাপেতে কোন,,,,,,,,,
ভাংবি যদি মনটা আমার কেন বাধলি ঘর মিছা মিছি প্রেম করিবার ছিলো কী প্রয়োজন,,,,,,,,,,,,
কোন পাপেতে কোন,,,,,,,,,
বি এম রাজে কয় ভাবিয়া শুনরে পাগল মন প্রেম করিস না ভন্ডের সাথে করবি গুরুর শন,,,,,,,,,,,,,,
 কোন পাপেতে কোন,,,,,,,,,,
ভন্ড প্রেমের ভন্ডামিতে ভাংলি কেন মন,,,,,,,,"
Sajna || সাজন || Lyrics,আধুনিক,"সাজনা এই দু চোখে চেয়ে দেখ না
আমি লুকিয়ে রেখেছি যতন করে সেই  তোমার দেয়া স্মৃতি আক্রে ধরে রেখে সারাক্ষণ তুমি কোথায় বল না
সাজনা এই দু চোখে চেয়ে দেখ না
আমারি মনেতে তোমারি ছায়া যে খেলা করে রাত্তি দুপুর
তোমারি ভাবনায় মিশে যে থাকে আমার সারা দুপুর
তবু কেন তোমায় পাশে পাই না
সাজনা এই দু চোখে চেয়ে দেখ না
স্বপ্নগুলো নিঝুম অরণ্য আর এ বিছিন্ন মন
তোমারি ভাবনায় আকাশ সম ব্যাথাগুলো করে বিচরন
তবু কেন আমায় তুমি বোঝনা
এ জীবন তুমি ছাড়া শূন্য হায়
সাজনা এই দু চোখে চেয়ে দেখ না"
Megher Niche|| মেঘের নিচে || Lyrics,আধুনিক,"মেঘের নিচে ঢেকে থাকা নীল আলোড়ন ,
 অস্থির চিত্তে গেয়ে যাওয়া প্রকৃতির গান,
 আঙ্গুল ছুঁয়ে যাওয়া বৃষ্টির জল
 অনুভূতির ছোঁয়ায় পাওয়া অসীম স্বপ্নের দল
 তুমি কি আর এসব ভাবনায় হারাও আনমনে
 হারাও কি আর আগেরই মতো
 চোখেরই নরম জলে
বালিশ চেপে বোবা কান্না কাঁদায় আমায় শুধু
একাকীত্বের বোবা বেদনা ভাবায় আমায় শুধু
স্মৃতিগুলো ঘিরে থাকে আমাকে
আর বৃষ্টি নামায়
মনের মাঝে না বলা কথা গুলো
আমায় ভাবায়
 তুমি কি আর এসব ভাবনায় হারাও আনমনে
 হারাও কি আর আগেরই মতো
 চোখেরই নরম জলে"
"বিদায় দাও গো বন্দু তোমরা,",ছায়াছবি,"বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়।
মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়।
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
স্রোতের শেওলা যামন ভাশে,
ভাসলাম আমি তেমন করে এই ভবের পরবাসে।
স্রোতের শেওলা যামন ভাশে,
ভাসলাম আমি তেমন করে এই ভবের পরবাসে।
কুলের দিশা তবু পেলাম নাতো কভু,
কুলের দিশা তবু পেলাম নাতো কভু,
সেথা ঘরে ঘরে গুরতেছি তবু,
পেলাম নাতো ঠাই,পেলাম নাতো ঠাই।
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়।
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
স্নেহ মায়ার কাঙ্গাল হয়ে, দারে দারে ফিরলাম কত,
এই অবুজ মন্টারে লয়ে।
স্নেহ মায়ার কাঙ্গাল হয়ে, দারে দারে ফিরলাম কত,
এই অবুজ মন্টারে লয়ে। 
এই বুজেছি শ্বার মিছে এ সংসার,
এই বুজেছি শ্বার মিছে এ সংসার,
হেথায় আপন বলে মানতে পারি,
এমন কেহ নাইরে, এমন কেহ নাই,
এমন কেহ নাই—-"
